품종,원산지,유형,특징,친화도 (1-10),수명 (년),크기,손질 필요도,운동 필요량 (시간/일),어린이 친화적 여부,지능 (1-10),털 빠짐 정도,건강 문제 위험,평균 체중 (kg),훈련 난이도 (1-10),정보링크,이미지,크기 수치화
아펜핀셔,독일,토이,원숭이 같은 얼굴,7,14,['소형'],높음,1.5,예,8,보통,낮음,4,6,https://en.wikipedia.org/wiki/Affenpinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/220px-Affenpinscher.jpg,1.0
아프간 하운드,아프가니스탄,하운드,길고 비단결 같은 털,5,13,['대형'],매우 높음,2.0,아니요,4,높음,보통,25,8,https://en.wikipedia.org/wiki/Afghan_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Afghan_dog_-_cropped.jpg/220px-Afghan_dog_-_cropped.jpg,3.0
에어데일 테리어,영국,테리어,테리어 중 가장 큼,8,12,['중형'],높음,2.0,예,7,보통,낮음,21,6,https://en.wikipedia.org/wiki/Airedale_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Airedale_Terrier.jpg/220px-Airedale_Terrier.jpg,2.0
아키타,일본,워킹,강한 충성심,6,11,['대형'],보통,2.0,예,7,높음,높음,45,9,https://en.wikipedia.org/wiki/Akita_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/American-akita.jpg/220px-American-akita.jpg,3.0
알래스칸 말라뮤트,알래스카 USA,워킹,강한 견인 능력,7,11,['대형'],높음,3.0,예,6,매우 높음,보통,36,8,https://en.wikipedia.org/wiki/Alaskan_Malamute,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Alaskan_Malamute.jpg/300px-Alaskan_Malamute.jpg,3.0
아메리칸 불독,미국,워킹,근육질 체격,8,11,['대형'],낮음,2.0,예,6,보통,보통,42,7,https://en.wikipedia.org/wiki/American_Bulldog,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Faithfullbull_Spike_of_Mightybull.jpg/220px-Faithfullbull_Spike_of_Mightybull.jpg,3.0
아메리칸 에스키모,미국,논-스포팅,순백색 털,9,14,"['소형', '중형']",높음,2.0,예,9,높음,낮음,12,5,https://en.wikipedia.org/wiki/American_Eskimo_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/American_Eskimo_Dog_1.jpg/220px-American_Eskimo_Dog_1.jpg,1.5
아메리칸 폭스하운드,미국,하운드,아름다운 울음소리,8,12,['중형'],낮음,2.5,예,6,보통,낮음,31,6,https://en.wikipedia.org/wiki/American_Foxhound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/AmericanFoxhound2.jpg/220px-AmericanFoxhound2.jpg,2.0
오스트레일리안 캐틀 독,호주,허딩,독특한 파란색 또는 붉은색 털,7,14,['중형'],보통,2.5,예,9,보통,낮음,15,7,https://en.wikipedia.org/wiki/Australian_Cattle_Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/ACD-blue-spud.jpg/220px-ACD-blue-spud.jpg,2.0
오스트레일리안 셰퍼드,미국,허딩,멀 색상,8,14,['중형'],높음,2.5,예,9,높음,보통,25,7,https://en.wikipedia.org/wiki/Australian_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Australian_Shepherd_red_bi.JPG/220px-Australian_Shepherd_red_bi.JPG,2.0
