breed,origin,url,img,height,weight,coat,life_span,other_names,common_nicknames,colour,litter_size,notes,breed_status,foundation_stock,img_src_set.1.5x,img_src_set.2x,height.dogs,weight.dogs,height.bitches,weight.bitches,img_src_set
Affenpinscher,Germany,https://en.wikipedia.org/wiki/Affenpinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/220px-Affenpinscher.jpg,23–30 cm (9–12 in),3–6 kg (7–13 lb),Wire,Not available,Not available,AffenAffie,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/330px-Affenpinscher.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/440px-Affenpinscher.jpg,,,,,
Affenpinscher,Germany,https://en.wikipedia.org/wiki/Affenpinscher,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/220px-Affenpinscher.jpg,23–30 cm (9–12 in),3–6 kg (7–13 lb),Wire,Not available,Not available,AffenAffie,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/330px-Affenpinscher.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Affenpinscher.jpg/440px-Affenpinscher.jpg,,,,,
Afghan Hound,Afghanistan,https://en.wikipedia.org/wiki/Afghan_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Afghan_dog_-_cropped.jpg/220px-Afghan_dog_-_cropped.jpg,,,Long and fine,Not available,Da Kochyano Spay Sage Balochi Ogar Afgan Barakzai Hound Eastern Greyhound/Persian Greyhound,Not available,Fawn Gold Brindle White Red Cream Blue Gray Tricolour,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Afghan_dog_-_cropped.jpg/330px-Afghan_dog_-_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Afghan_dog_-_cropped.jpg,61–73 cm (24–29 in),20–27 kg (44–60 lb),,,
Africanis,Southern Africa,https://en.wikipedia.org/wiki/Africanis,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Africanis_%281%29.jpg/220px-Africanis_%281%29.jpg,50–62 cm (20–24 in),Not available,Short and compact,Not available,African dogBantu dogHottentot hunting dogKhoekhoe dogTswana dogZulu dogKataliMukehe,Not available,"All colours or combinations of colours, particularly brown, brindle, black or white",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Africanis_%281%29.jpg/330px-Africanis_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Africanis_%281%29.jpg/440px-Africanis_%281%29.jpg,,,,,
Aidi,Morocco,https://en.wikipedia.org/wiki/Aidi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Aidi.jpg/220px-Aidi.jpg,52–62 cm (20–24 in),55 pounds (25 kg),"Thick, medium-length",Not available,AïdiAtlas Mountain DogAtlas Shepherd DogBerber DogChien de l'AtlasChien de montagne de l'Atlas,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Aidi.jpg/330px-Aidi.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Aidi.jpg/440px-Aidi.jpg,,,,,
Airedale Terrier,England,https://en.wikipedia.org/wiki/Airedale_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Airedale_Terrier.jpg/220px-Airedale_Terrier.jpg,,,Broken,Not available,Waterside TerrierBingley Terrier,AiredaleKing of Terriers,"Black saddle with tan ears, legs, and head; dark grizzle saddle (black mixed with gray and white)",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/5/52/Airedale_Terrier.jpg,,22–24 inches (56–61 cm),40–50 pounds (18–23 kg),22–23 inches (56–58 cm),35–40 pounds (16–18 kg),
Akbash,Turkey,https://en.wikipedia.org/wiki/Akbash,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Akbash_Dog_male_2016.jpg/220px-Akbash_Dog_male_2016.jpg,,,Medium or long double coat,Not available,Akbaş Çoban Köpeği,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Akbash_Dog_male_2016.jpg/330px-Akbash_Dog_male_2016.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Akbash_Dog_male_2016.jpg/440px-Akbash_Dog_male_2016.jpg,28–32 in (71–81 cm),90–140 lb (41–64 kg),27–30 in (69–76 cm),75–105 lb (34–48 kg),
Akita,Japan,https://en.wikipedia.org/wiki/Akita_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/American-akita.jpg/220px-American-akita.jpg,,,Double coat,Not available,"Akita Inu, Japanese Akita",Not available,"Ginger, Red, brindle, or white, all with white fur on the ventral areas of the dog (genetics variants can include black & grey) (urajiro)",Not available,"National dog of Japan,Prefecture animal of Akita",Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/American-akita.jpg/330px-American-akita.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/American-akita.jpg/440px-American-akita.jpg,26–28 in (66–71 cm),100–130 lb (45–59 kg),24–26 in (61–66 cm),85–100 lb (39–45 kg),
Aksaray Malaklisi,Turkey,https://en.wikipedia.org/wiki/Aksaray_Malaklisi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Aksaray_malaklisi_beto.jpg/220px-Aksaray_malaklisi_beto.jpg,73–78 cm (29–31 in),Not available,Short,Not available,Malaklı Karabaş,Not available,Grey,Not available,Not available,Not recognised as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Aksaray_malaklisi_beto.jpg/330px-Aksaray_malaklisi_beto.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Aksaray_malaklisi_beto.jpg/440px-Aksaray_malaklisi_beto.jpg,,,,,
Alano Español,Spain,https://en.wikipedia.org/wiki/Alano_Espa%C3%B1ol,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Spanish_Alano_1.jpg/220px-Spanish_Alano_1.jpg,,75–88 pounds (34–40 kg),Short and thick,Not available,Spanish AlauntSpanish BulldogSpanish Alano,Not available,"Any kind of brindle; leonardo (fawn); black and brindle; sable wolf, blue",Not available,The Alano Español is recognised in Spanish legislation: 63,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Spanish_Alano_1.jpg/330px-Spanish_Alano_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Spanish_Alano_1.jpg/440px-Spanish_Alano_1.jpg,23–25 inches (58–64 cm),,22–24 inches (56–61 cm),,
Alapaha Blue Blood Bulldog,United States,https://en.wikipedia.org/wiki/Alapaha_Blue_Blood_Bulldog,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Alapaha_Blue-Blood_Bulldog.jpg/220px-Alapaha_Blue-Blood_Bulldog.jpg,20–25 in (51–64 cm),50–90 lb (23–41 kg),Short,Not available,Not available,Ottos,Not available,Not available,Not available,Not recognized as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Alapaha_Blue-Blood_Bulldog.jpg/330px-Alapaha_Blue-Blood_Bulldog.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Alapaha_Blue-Blood_Bulldog.jpg/440px-Alapaha_Blue-Blood_Bulldog.jpg,,,,,
